Variable,Description,Type,Value,Label,Pre-Transplant Variable vs Post-Transplant Outcome Variable,"Related to GVHD: Yes/No, Possible, Unknown","Rational for Yes, Possible, Unknown",Linked to Other Variables
,,,54,CMMoL Chronic myelomonocytic leukemia,,,,
,,,280,"AML/ANLL, not otherwise specified",,,,
,,,281,AML with t(8;21)(q22;q22)(AML1/ETO),,,,
,,,282,AML with abnormal BM eosinophils (CBFb/MYH11),,,,
,,,283,APL with t(15;17)(q22;q12)(PML/RARa) and variant (M3),,,,
,,,284,AML with 11q23 (MLL) abnormalities,,,,
,,,285,AML with multi-lineage dysplasia,,,,
,,,286,AML minimally differentiated (M0),,,,
,,,287,AML without maturation (M1),,,,
,,,288,AML with maturation (M2),,,,
,,,289,Acute myelomonocytic leukemia (M4),,,,
,,,290,Acute monoblastic/monocytic leukemia (M5),,,,
,,,291,Acute erythroid leukemia (M6),,,,
,,,292,Acute megakaryoblastic leukemia (M7),,,,
,,,293,Acute basophilic leukemia,,,,
,,,294,Acute panmyelosis with myelofibrosis,,,,
,,,295,Myeloid sarcoma,,,,
,,,296,Blastic Plasmacytoid dendritic cell neoplasm,,,,
,,,297,AML with biallelic mutations of CEBPA,,,,
,,,298,AML with mutated RUNX1,,,,
indxtx,Time from diagnosis to HCT (months),Continuous,.A,Missing,Pre-Transplant Variable,Possible,Time from most recent chemotherapy,
denovo,De novo AML,Categorical,.A,Missing,Pre-Transplant Variable,Possible,Not as much chemotherapy treatment,
,,,0,No,,,,
,,,1,Yes,,,,
priorlk,Antecedent hematological disorder,Categorical,.A,Missing,Pre-Transplant Variable,Possible,Other treatments may increase the risk,
,,,0,No,,,,
,,,1,Yes,,,,
theraml,Therapy linked AML,Categorical,.A,Missing,Pre-Transplant Variable,Possible,Other treatments may increase the risk,
,,,0,No,,,,
,,,1,Yes,,,,
prether,Prior disease for therapy related AML,Categorical,.A,Missing,Pre-Transplant Variable,Possible,Impacts the chemotherapy given,"266, 269"
,,,.B,Not therapy related AML,,,,
,,,.Z,"N/A, TED Track",,,,
,,,1,Hodgkin lymphoma,,,,
,,,2,Non-hodgkin lymphoma,,,,
,,,3,Breast cancer,,,,
,,,7,Other,,,,
l2chemo,Received prior chemotherapy (therapy related AML),Categorical,.A,Missing,Pre-Transplant Variable,Possible,Increases the risk due to treatment,"266, 269"
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
l2rad,Received prior radiation (therapy related AML),Categorical,.A,Missing,Pre-Transplant Variable,Possible,Potentially increases the risk,"266, 269"
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
l2oth,Received other prior treatment (non chemo/rad) (therapy related AML),Categorical,.A,Missing,Pre-Transplant Variable,Possible,Potentially increases the risk,"266, 269"
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
inpredistx,Time from diagnosis of prior disease (not MDS/MPN) to HCT (years),Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No prior disease,,,,
,,,.Z,"N/A, TED track",,,,
inprelktx,Time from diagnosis of prior MDS/MPN to HCT (months),Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No prior MDS/MPN,,,,
,,,.Z,"N/A, TED track",,,,
mdsubdis,Prior MDS/MPN disease classification,Categorical,.A,Missing,Pre-Transplant Variable,Possible,Potentially impacts prior therapy given,"266, 269"
,,,.B,No prior MDS/MPN,,,"Group 45, 48, 1440 together",
,,,45,"Atypical CML, Ph-, BCR/ABL-",,,"Group 50, 51, 55, 61-66, 1454 together",
,,,48,"Atypical CML, Ph unknown, BCR/ABL-",,,"Group 54, 57, 58, 60, 165, 166, 167, 1464 together",
,,,50,"MDS, unclassifiable",,,"Group 69, 1452 together",
,,,51,RCUD,,,,
,,,54,CMMoL,,,,
